"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
paatient_identifier,patient_demographics_and_baseline_data,,text,"Patient Identifier",,,,,,y,,,,,,,
first_name,patient_demographics_and_baseline_data,,text,"First Name",,,,,,y,,y,,,,,
last_name,patient_demographics_and_baseline_data,,text,"Last Name",,,,,,y,,y,,,,,
baseline_visit_date,patient_demographics_and_baseline_data,,text,"Baseline Visit Date",,,date_dmy,,,y,,,,,,,
gender,patient_demographics_and_baseline_data,"CONFOUNDING VARIABLES",dropdown,Gender,"1, Male | 2, Female | 3, Transgender",,,,,,,,,,,,
hair_colour,patient_demographics_and_baseline_data,,dropdown,"Hair Colour","1, Black | 2, Dark Brown | 3, Light Brown | 4, Blonde | 5, Red",,,,,,,,,,,,
dominant_hand,patient_demographics_and_baseline_data,,dropdown,"Dominant Hand","1, Right | 2, Left",,,,,,,,,,,,
weight_kg,patient_demographics_and_baseline_data,,text,Weight(kg),,,integer,22,220,,,,,,,,
height_cm,patient_demographics_and_baseline_data,,text,"Height (cm)",,,integer,,,,,,,,,,
current_smoker,patient_demographics_and_baseline_data,,dropdown,"Current smoker","1, yes | 2, no",,,,,,,,,,,,
date_of_birth,patient_demographics_and_baseline_data,,text,"Date Of Birth",,,date_dmy,,,y,,,,,,,
pregnancy,patient_demographics_and_baseline_data,,dropdown,Pregnancy,"1, yes | 2, no",,,,,,"[gender] = '2'",,,,,,
current_drug_user,patient_demographics_and_baseline_data,,dropdown,"Current Drug User","1, yes | 2, no",,,,,,,,,,,,
ethnicity,patient_demographics_and_baseline_data,,dropdown,Ethnicity,"1, Hispanic or Latino | 2, Not Hispanic or Latino",,,,,,,,,,,,
race,patient_demographics_and_baseline_data,,dropdown,Race,"1, American Indian or Alaska native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or other Pacific Islander | 5, White | 6, Mixed race",,,,,,,,,,,,
consent_form,patient_demographics_and_baseline_data,"CONSENT FORM",descriptive,"Consent Form ( For users to read )",,,,,,,,,,,,,
signed_scanned_consent_for,patient_demographics_and_baseline_data,,file,"Signed/ Scanned Consent Form",,,,,,,,y,,,,,
